Network Precision Acc-Error Sensitivity Sens-Error Specificity Speci-Error F1-Score F1-Error
ResNet18 89.9 1.4 88.6 0.8 88.6 0.8 88.5 0.8
ResNet18+LA-Net 95.5 0.3 95.1 0.1 95.1 0.1 95.1 0.04
ResNet50 94.0 0.1 93.9 0.04 93.9 0.04 93.9 0.04
ResNet50+LA-Net 96.5 0.1 96.4 0.04 96.4 0.04 96.4 0.04
